Season,Episode,Title,Year,Votes,Rating
7,1,Who Shot Mr. Burns? Part Two,1995,3196,9
7,2,Radioactive Man,1995,2413,8.3
7,3,Home Sweet Home-Dum-Diddly Doodily,1995,2348,8.4
7,4,Bart Sells His Soul,1995,3131,8.8
7,5,Lisa the Vegetarian,1995,2910,8.5
7,6,Treehouse of Horror VI,1995,2765,8.6
7,7,King Size Homer,1995,3512,9
7,8,Mother Simpson,1995,2594,8.7
7,9,Sideshow Bob's Last Gleaming,1995,2155,8
7,10,The Simpsons 138th Episode Spectacular!,1995,2142,7.5
7,11,Marge Be Not Proud,1995,2778,8.5
7,12,Team Homer,1996,2214,8.3
7,13,Two Bad Neighbors,1996,2822,8.6
7,14,Scenes from the Class Struggle in Springfield,1996,2022,7.7
7,15,Bart the Fink,1996,2000,7.7
7,16,Lisa the Iconoclast,1996,2192,8.2
7,17,Homer the Smithers,1996,3211,8.9
7,18,The Day the Violence Died,1996,2148,8.1
7,19,A Fish Called Selma,1996,2498,8.2
7,20,Bart on the Road,1996,2681,8.6
7,21,22 Short Films About Springfield,1996,3085,9
7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse o...,1996,2338,8.5
7,23,Much Apu About Nothing,1996,2074,8.1
7,24,Homerpalooza,1996,2179,7.9
7,25,"Summer of 4'2""",1996,2373,8.5
8,1,Treehouse of Horror VII,1996,2576,8.5
8,2,You Only Move Twice,1996,4928,9.3
8,3,The Homer They Fall,1996,2246,8.1
8,4,Burns Baby Burns,1996,2199,7.7
8,5,Bart After Dark,1996,2292,8.3
8,6,A Milhouse Divided,1996,2178,8.1
8,7,Lisa's Date with Density,1996,2116,7.8
8,8,Hurricane Neddy,1996,2935,8.8
8,9,El Viaje Misterioso de Nuestro Jomer,1997,2931,8.6
8,10,The Springfield Files,1997,3623,9.1
8,11,The Twisted World of Marge Simpson,1997,2068,7.8
8,12,Mountain of Madness,1997,2678,8.6
8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,1997,2306,7.7
8,14,The Itchy & Scratchy & Poochie Show,1997,2239,8
8,15,Homer's Phobia,1997,3393,8.8
8,16,Brother from Another Series,1997,2277,8.2
8,17,My Sister My Sitter,1997,2363,7.9
8,18,Homer vs. the 18th Amendment,1997,2764,8.9
8,19,Grade School Confidential,1997,2380,8.3
8,20,The Canine Mutiny,1997,1933,7.6
8,21,The Old Man and the Lisa,1997,2035,7.9
8,22,In Marge We Trust,1997,2104,8.1
8,23,Homer's Enemy,1997,5061,9.3
8,24,The Simpsons Spin-Off Showcase,1997,2052,7.2
8,25,The Secret War of Lisa Simpson,1997,2012,7.9
9,1,The City of New York vs. Homer Simpson,1997,3925,9.1
9,2,The Principal and the Pauper,1997,2719,6.8
9,3,Lisa's Sax,1997,2019,8.1
9,4,Treehouse of Horror VIII,1997,2168,8.2
9,5,The Cartridge Family,1997,2217,8.2
9,6,Bart Star,1997,1873,7.7
9,7,The Two Mrs. Nahasapeemapetilons,1997,1824,7.7
9,8,Lisa the Skeptic,1997,2008,8.1
9,9,Realty Bites,1997,1810,7.6
9,10,Miracle on Evergreen Terrace,1997,2011,7.5
9,11,All Singing All Dancing,1998,2130,5
9,12,Bart Carny,1998,1900,7.7
9,13,The Joy of Sect,1998,2116,8.4
9,14,Das Bus,1998,2086,8.2
9,15,The Last Temptation of Krust,1998,1769,7.5
9,16,Dumbbell Indemnity,1998,1793,7.7
9,17,Lisa the Simpson,1998,2012,8
9,18,This Little Wiggy,1998,1873,7.9
9,19,Simpson Tide,1998,2262,8.1
9,20,The Trouble with Trillions,1998,2115,7.8
9,21,Girly Edition,1998,1832,7.9
9,22,Trash of the Titans,1998,2440,8.4
9,23,King of the Hill,1998,2179,8.2
9,24,Lost Our Lisa,1998,1765,7.8
9,25,Natural Born Kissers,1998,1905,8
10,1,Lard of the Dance,1998,1907,7.6
10,2,The Wizard of Evergreen Terrace,1998,2248,8.1
10,3,Bart the Mother,1998,1808,7.6
10,4,Treehouse of Horror IX,1998,2126,8.1
10,5,When You Dish Upon a Star,1998,1820,7.2
10,6,D'oh-in' in the Wind,1998,1788,7.6
10,7,Lisa Gets an 'A',1998,1883,8.1
10,8,Homer Simpson in: 'Kidney Trouble',1998,1739,7.3
10,9,Mayored to the Mob,1998,2190,8.2
