Season,Episode,Title,Year,Votes,Rating
26,3,Super Franchise Me,2014,936,6.4
26,4,Treehouse of Horror XXV,2014,1279,7.5
26,5,Opposites A-Frack,2014,897,6.2
26,6,Simpsorama,2014,1848,7.9
26,7,Blazed and Confused,2014,978,6.8
26,8,Covercraft,2014,912,6.3
26,9,I Won't Be Home for Christmas,2014,918,6.7
26,10,The Man Who Came to Be Dinner,2015,1119,6.6
26,11,Bart's New Friend,2015,959,7.2
26,12,The Musk Who Fell to Earth,2015,1012,5.6
26,13,Walking Big & Tall,2015,834,6.2
26,14,My Fare Lady,2015,817,6.6
26,15,The Princess Guide,2015,840,6.4
26,16,Sky Police,2015,857,6.7
26,17,Waiting for Duffman,2015,822,6.6
26,18,Peeping Mom,2015,775,6.6
26,19,The Kids Are All Fight,2015,787,6.7
26,20,Let's Go Fly a Coot,2015,780,6
26,21,Bull-E,2015,790,6.5
26,22,Mathlete's Feat,2015,830,6.8
27,1,Every Man's Dream,2015,1139,5.5
27,2,'Cue Detective,2015,950,6.6
27,3,Puffless,2015,927,7
27,4,Halloween of Horror,2015,1263,7.6
27,5,Treehouse of Horror XXVI,2015,1007,6.6
27,6,Friend with Benefit,2015,828,6.6
27,7,"Lisa with an ""S""",2015,834,5.9
27,8,Paths of Glory,2015,819,6.8
27,9,Barthood,2015,1846,8.5
27,10,The Girl Code,2016,905,6.5
27,11,Teenage Mutant Milk-Caused Hurdles,2016,848,6.5
27,12,Much Apu About Something,2016,801,6.6
27,13,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2016,762,6.4
27,14,Gal of Constant Sorrow,2016,868,6.5
27,15,Lisa the Veterinarian,2016,783,6.4
27,16,The Marge-ian Chronicles,2016,833,7.1
27,17,The Burns Cage,2016,760,6.3
27,18,How Lisa Got Her Marge Back,2016,726,6.2
27,19,Fland Canyon,2016,822,7.2
27,20,To Courier with Love,2016,716,6.7
27,21,Simprovised,2016,740,6.3
27,22,Orange Is the New Yellow,2016,761,6.7
28,1,Monty Burns' Fleeing Circus,2016,861,6
28,2,Friends and Family,2016,801,6.6
28,3,The Town,2016,902,7.1
28,4,Treehouse of Horror XXVII,2016,985,6.9
28,5,Trust But Clarify,2016,745,6.3
28,6,There Will Be Buds,2016,746,6.7
28,7,Havana Wild Weekend,2016,732,6.2
28,8,Dad Behavior,2016,708,6.6
28,9,The Last Traction Hero,2016,669,6.3
28,10,The Nightmare After Krustmas,2016,720,5.9
28,11,Pork and Burns,2017,719,6.8
28,12,The Great Phatsby,2017,901,6.2
28,13,Fatzcarraldo,2017,695,6.4
28,14,The Cad and the Hat,2017,687,6.5
28,15,Kamp Krustier,2017,686,6.5
28,16,22 for 30,2017,733,6.6
28,17,A Father's Watch,2017,702,6.9
28,18,The Caper Chase,2017,722,6.1
28,19,Looking for Mr. Goodbart,2017,703,6.9
28,20,Moho House,2017,645,6.1
28,21,Dogtown,2017,653,6.5
29,1,The Serfsons,2017,1089,6.8
29,2,Springfield Splendor,2017,859,6.6
29,3,Whistler's Father,2017,771,6.1
29,4,Treehouse of Horror XXVIII,2017,1040,7.1
29,5,Grampy Can Ya Hear Me,2017,735,6.3
29,6,The Old Blue Mayor She Ain't What She Used To Be,2017,744,6.3
29,7,Singin' in the Lane,2017,734,6.3
29,8,Mr. Lisa's Opus,2017,808,6.9
29,9,Gone Boy,2017,873,7.3
29,10,Haw-Haw Land,2018,766,6.5
29,11,Frink Gets Testy,2018,686,6.2
29,12,Homer is Where the Art Isn't,2018,731,6.7
29,13,3 Scenes Plus a Tag from a Marriage,2018,674,6.6
29,14,Fears of a Clown,2018,638,6
29,15,No Good Read Goes Unpunished,2018,656,6.3
29,16,King Leer,2018,623,6.3
29,17,Lisa Gets the Blues,2018,703,6.8
29,18,Forgive and Regret,2018,696,7.1
29,19,Left Behind,2018,657,6.6
29,20,Throw Grampa from the Dane,2018,720,6.7
29,21,Flanders' Ladder,2018,975,7.7
30,1,Bart's Not Dead,2018,925,6.2
30,2,Heartbreak Hotel,2018,819,6
30,3,My Way or the Highway to Heaven,2018,786,6.2
30,4,Treehouse of Horror XXIX,2018,878,5.9
30,5,Baby You Can't Drive My Car,2018,733,7.1
30,6,From Russia Without Love,2018,695,6.5
30,7,Werking Mom,2018,817,5.6
30,8,Krusty the Clown,2018,666,6.5
30,9,Daddicus Finch,2018,667,6.8
30,10,'Tis the 30th Season,2018,665,6.7
30,11,Mad About the Toy,2019,773,5.6
30,12,The Girl on the Bus,2019,687,6.3
30,13,I'm Dancing as Fat as I Can,2019,660,6.9
30,14,The Clown Stays in the Picture,2019,618,6.2
30,15,101 Mitigations,2019,575,6.4
30,16,I Want You (She's So Heavy),2019,590,5.8
30,17,E My Sports,2019,640,6.3
30,18,Bart vs. Itchy & Scratchy,2019,1260,4.5
30,19,Girl's in the Band,2019,618,6.4
30,20,I'm Just a Girl Who Can't Say D'oh,2019,618,5.4
30,21,D'oh Canada,2019,752,5.4
30,22,Woo-Hoo Dunnit?,2019,620,6.1
30,23,Crystal Blue-Haired Persuasion,2019,587,6
31,1,The Winter of Our Monetized Content,2019,841,5.8
31,2,Go Big or Go Homer,2019,750,5.9
31,3,The Fat Blue Line,2019,656,6.6
31,4,Treehouse of Horror XXX,2019,815,6.9
31,5,Gorillas on the Mast,2019,603,6.3
31,6,Marge the Lumberjill,2019,688,5.5
31,7,Livin la Pura Vida,2019,652,6.4
31,8,Thanksgiving of Horror,2019,806,7.4
31,9,Todd Todd Why Hast Thou Forsaken Me?,2019,728,6.5
31,10,Bobby It's Cold Outside,2019,571,6.6
31,11,Hail to the Teeth,2020,519,6
31,12,The Miseducation of Lisa Simpson,2020,524,6.6
31,13,Frinkcoin,2020,495,5.9
31,14,Bart the Bad Guy,2020,677,7.3
31,15,Screenless,2020,503,6.5
31,16,Better Off Ned,2020,483,6.4
31,17,Highway to Well,2020,546,7.1
31,18,The Incredible Lightness of Being a Baby,2020,468,6.3
31,19,Warrin' Priests,2020,563,6.1
31,20,Warrin' Priests Part 2,2020,523,5.8
31,21,The Hateful Eight-Year-Olds,2020,518,6.7
31,22,The Way of the Dog,2020,636,7.5
32,1,Undercover Burns,2020,639,6.5
32,2,I Carumbus,2020,592,6.8
32,3,Now Museum Now You Don't,2020,536,5.7
32,4,Treehouse of Horror XXXI,2020,748,6
32,5,The 7 Beer Itch,2020,517,5.7
32,6,Podcast News,2020,476,6.8
32,7,Three Dreams Denied,2020,442,6.2
32,8,The Road to Cincinnati,2020,534,6.7
32,9,Sorry Not Sorry,2020,457,6.2
32,10,A Springfield Summer Christmas for Christmas,2020,525,6.2
32,11,The Dad-Feelings Limited,2021,598,7.1
32,12,Diary Queen,2021,481,6.9
32,13,Wad Goals,2021,382,6.2
32,14,Yokel Hero,2021,353,5.6
32,15,Do Pizza Bots Dream of Electric Guitars,2021,362,5.9
32,16,Manger Things,2021,358,6.4
32,17,Uncut Femmes,2021,351,6.5
32,18,Burger Kings,2021,323,6.9
32,19,Panic on the Streets of Springfield,2021,425,6.2
32,20,Mother and Child Reunion,2021,291,7.2
32,21,The Man from G.R.A.M.P.A.,2021,253,6.5
32,22,The Last Barfighter,2021,301,7.7
